year,state_name,required_spending_statewide,actual_spending_statewide,statewide_enrollment
2019,Maine,10297.71,14344.63,132590.0
2019,Maryland,15082.42,15148.27,896423.0
2019,Massachusetts,12307.83,17603.47,866972.0
2019,Michigan,13055.63,11387.58,1310029.0
2019,Minnesota,10997.23,12655.82,815738.0
2019,Mississippi,18394.8,9256.76,450027.0
2019,Missouri,11724.04,10772.77,883250.0
2019,Montana,10926.78,11877.77,144297.0
2019,Nebraska,10874.88,12257.15,320829.0
2019,Nevada,13362.73,9343.72,448546.0
2019,New Hampshire,8906.32,17445.1,169214.0
2019,New Jersey,12164.14,19840.05,1313229.0
2019,New Mexico,14580.74,10176.62,318845.0
2019,New York,16467.71,25145.86,2547924.0
2019,North Carolina,13679.03,9856.79,1440327.0
2019,North Dakota,10209.45,13432.4,110362.0
2019,Ohio,12848.78,12558.19,1583056.0
2019,Oklahoma,11817.28,9307.07,659016.0
2019,Oregon,10657.97,11754.2,580797.0
2019,Pennsylvania,12013.39,15342.73,1566383.0
2019,Rhode Island,13204.82,16665.41,133091.0
2019,South Carolina,14130.07,11121.48,729594.0
2019,South Dakota,10257.22,10115.73,136343.0
2019,Tennessee,11150.76,9670.87,848424.0
2019,Texas,15448.34,9728.91,5110943.0
2019,Utah,9140.32,8005.19,563140.0
2019,Vermont,,,
2019,Virginia,12869.52,12639.84,1289176.0
2019,Washington,11168.7,14029.12,1119433.0
2019,West Virginia,10120.58,11944.28,267976.0
2019,Wisconsin,11660.24,12574.99,846480.0
2019,Wyoming,8848.05,16304.0,93734.0
2018,Alabama,15437.14,9695.17,725552.0
2018,Alaska,,,
2018,Arizona,11330.08,8167.16,917237.0
2018,Arkansas,14486.36,9927.65,473325.0
2018,California,14637.95,11666.37,5969561.0
2018,Colorado,10833.54,10115.71,889510.0
2018,Connecticut,12385.9,19916.27,491590.0
2018,Delaware,14404.22,15521.74,113857.0
2018,District of Columbia,23330.1,22759.09,48205.0
2018,Florida,12837.13,9346.02,2812329.0
2018,Georgia,15416.58,10756.18,1733206.0
2018,Hawaii,,,
2018,Idaho,9234.64,7750.34,281256.0
2018,Illinois,13616.42,15330.35,1972339.0
2018,Indiana,11312.3,10150.86,1001173.0
2018,Iowa,10556.8,11104.61,511850.0
2018,Kansas,11103.26,11110.61,491593.0
2018,Kentucky,11316.81,11110.25,680806.0
2018,Louisiana,16061.55,11460.44,639502.0
2018,Maine,10102.9,13874.96,132971.0
2018,Maryland,14223.18,14761.73,893284.0
2018,Massachusetts,11834.41,16908.09,871743.0
2018,Michigan,13136.09,11028.27,1325441.0
2018,Minnesota,10768.03,12311.78,814361.0
2018,Mississippi,18378.42,8906.47,461473.0
2018,Missouri,11692.17,10497.22,885796.0
2018,Montana,10624.72,11511.72,145707.0
2018,Nebraska,10836.67,12293.68,318209.0
2018,Nevada,13786.7,9294.35,447389.0
2018,New Hampshire,8791.3,16873.37,170566.0
2018,New Jersey,11988.8,18864.39,1325253.0
2018,New Mexico,14385.49,9582.11,318092.0
2018,New York,16235.94,24055.58,2579490.0
2018,North Carolina,13350.19,9376.64,1451980.0
2018,North Dakota,9640.97,13183.73,108484.0
2018,Ohio,12728.63,12063.46,1587451.0
2018,Oklahoma,11879.22,8222.19,665352.0
2018,Oregon,10669.23,11281.77,578595.0
2018,Pennsylvania,11574.3,14951.34,1567704.0
2018,Rhode Island,12967.42,16058.5,133291.0
2018,South Carolina,14481.99,10835.68,728672.0
2018,South Dakota,10130.94,10051.21,135211.0
2018,Tennessee,11232.27,9333.57,847148.0
2018,Texas,15558.09,9513.93,5099114.0
2018,Utah,8752.14,7589.92,558089.0
2018,Vermont,,,
2018,Virginia,12693.49,12215.09,1291239.0
2018,Washington,10959.49,12810.46,1105669.0
2018,West Virginia,10213.46,11220.69,272266.0
2018,Wisconsin,11286.38,12282.29,849026.0
2018,Wyoming,8863.91,16223.68,93647.0
2017,Alabama,14650.79,9513.05,728698.0
2017,Alaska,,,
2017,Arizona,11074.48,7901.51,932881.0
2017,Arkansas,14027.54,9755.61,473076.0
2017,California,14567.16,11727.19,5980109.0
2017,Colorado,10481.38,9716.55,885492.0
2017,Connecticut,11619.14,19125.84,496074.0
2017,Delaware,13378.77,15180.45,114306.0
2017,District of Columbia,22632.8,21973.99,48462.0
2017,Florida,12727.0,9075.39,2801945.0
2017,Georgia,15046.62,10154.41,1732691.0
2017,Hawaii,,,
2017,Idaho,8919.3,7465.94,277656.0
2017,Illinois,13173.5,14903.84,2001448.0
2017,Indiana,10810.28,9932.55,1000414.0
2017,Iowa,9885.19,10840.74,509831.0
2017,Kansas,10886.38,10455.11,489292.0
2017,Kentucky,10714.71,10121.32,683864.0
2017,Louisiana,15786.1,11205.97,651625.0
2017,Maine,9503.24,13651.2,131798.0
2017,Maryland,13593.19,14847.86,885820.0
2017,Massachusetts,11607.98,16040.59,885807.0
2017,Michigan,12502.49,10645.68,1327204.0
2017,Minnesota,10506.95,11995.64,811058.0
2017,Mississippi,17702.43,8742.61,466351.0
2017,Missouri,11322.91,10140.45,887420.0
2017,Montana,10110.11,11290.88,144988.0
2017,Nebraska,10695.64,12092.76,313724.0
2017,Nevada,13008.16,9319.91,442931.0
2017,New Hampshire,8934.48,15730.83,177446.0
2017,New Jersey,11631.13,18289.32,1331554.0
2017,New Mexico,13714.05,9888.32,315822.0
2017,New York,15759.68,23097.22,2594984.0
2017,North Carolina,12927.58,9072.06,1457357.0
2017,North Dakota,9421.84,13203.49,106135.0
2017,Ohio,12463.01,11695.36,1590877.0
2017,Oklahoma,11415.11,7944.08,669273.0
2017,Oregon,10653.32,10660.61,576911.0
2017,Pennsylvania,11064.98,14410.0,1573983.0
2017,Rhode Island,12187.45,15813.29,133230.0
2017,South Carolina,13978.99,10565.68,725939.0
2017,South Dakota,9832.96,9917.21,133725.0
2017,Tennessee,10848.06,9001.0,845347.0
2017,Texas,14981.64,9285.16,5082444.0
2017,Utah,8382.08,7153.63,553599.0
2017,Vermont,,,
2017,Virginia,12272.62,11884.99,1286711.0
2017,Washington,10901.84,11814.67,1098187.0
2017,West Virginia,9995.86,11400.51,273170.0
2017,Wisconsin,10961.0,11945.46,853025.0
2017,Wyoming,8584.75,16536.88,93925.0
2016,Alabama,14413.62,9243.29,728234.0
2016,Alaska,,,
2016,Arizona,11505.22,7530.67,929302.0
2016,Arkansas,13777.67,9639.4,477095.0
2016,California,14812.72,10993.42,5986440.0
2016,Colorado,10442.95,9484.18,880678.0
2016,Connecticut,11049.13,18762.78,499494.0
2016,Delaware,12800.49,14610.66,113889.0
2016,District of Columbia,23335.27,20234.99,48336.0
2016,Florida,12328.96,8920.03,2776933.0
2016,Georgia,14901.62,9718.79,1727085.0
2016,Hawaii,,,
2016,Idaho,8943.26,7135.8,273558.0
2016,Illinois,12966.87,13732.83,2015155.0
2016,Indiana,10953.61,9745.01,1000952.0
2016,Iowa,9950.01,10533.41,507933.0
2016,Kansas,10456.06,9951.62,490676.0
2016,Kentucky,10923.04,9862.89,686440.0
2016,Louisiana,15833.3,11048.87,655890.0
2016,Maine,9707.95,13120.53,132983.0
2016,Maryland,13233.24,14205.81,879196.0
2016,Massachusetts,11070.36,15441.74,888328.0
2016,Michigan,12401.97,10454.8,1335713.0
2016,Minnesota,10325.57,11737.83,803550.0
2016,Mississippi,17774.28,8670.93,470459.0
2016,Missouri,11179.95,9882.26,891534.0
2016,Montana,10098.92,11188.22,144359.0
2016,Nebraska,10133.02,11798.28,310508.0
2016,Nevada,12744.24,8959.98,441623.0
2016,New Hampshire,8367.37,15328.14,178955.0
2016,New Jersey,11345.43,17719.15,1340373.0
2016,New Mexico,14086.39,9692.62,319861.0
2016,New York,15397.8,22367.18,2587745.0
2016,North Carolina,12819.45,8792.01,1462036.0
2016,North Dakota,9164.76,12813.22,104932.0
2016,Ohio,12010.36,11185.09,1595023.0
2016,Oklahoma,11276.14,8083.23,672591.0
2016,Oregon,10224.24,10285.67,574252.0
2016,Pennsylvania,11045.62,14022.0,1570310.0
2016,Rhode Island,11579.81,15385.5,133856.0
2016,South Carolina,13699.86,10227.88,721134.0
2016,South Dakota,9649.09,9159.74,131667.0
2016,Tennessee,10678.83,8680.53,843337.0
2016,Texas,14937.83,8931.58,5048750.0
2016,Utah,8201.19,6918.48,545792.0
2016,Vermont,10369.85,14897.61,81451.0
2016,Virginia,12170.56,11431.72,1283493.0
2016,Washington,10266.46,11279.12,1083973.0
2016,West Virginia,9673.37,11136.8,276764.0
2016,Wisconsin,10840.7,11432.18,855182.0
2016,Wyoming,8046.76,16441.95,94511.0
2015,Alabama,14656.07,9134.63,729868.0
2015,Alaska,,,
2015,Arizona,11434.66,7388.13,942675.0
2015,Arkansas,13982.5,9502.19,477619.0
2015,California,14142.79,9978.99,5995647.0
2015,Colorado,10356.62,9173.48,872320.0
2015,Connecticut,11107.71,18198.87,505366.0
2015,Delaware,12613.98,14005.69,114479.0
2015,District of Columbia,23491.73,19395.99,46155.0
2015,Florida,12387.06,8881.18,2743641.0
2015,Georgia,14866.73,9377.24,1717805.0
2015,Hawaii,,,
2015,Idaho,8662.52,6901.53,272818.0
2015,Illinois,13070.39,13325.49,2033451.0
2015,Indiana,11021.2,9576.49,1002453.0
2015,Iowa,9684.62,10326.29,505311.0
2015,Kansas,10394.48,10029.8,492022.0
2015,Kentucky,10751.02,9630.4,688475.0
2015,Louisiana,14867.76,10985.83,656413.0
2015,Maine,9535.21,13142.35,129096.0
2015,Maryland,13017.54,14191.94,874108.0
2015,Massachusetts,11021.21,15428.43,883687.0
2015,Michigan,12543.12,10312.55,1344181.0
2015,Minnesota,10106.68,11340.91,799616.0
2015,Mississippi,17663.2,8441.34,482551.0
2015,Missouri,11235.47,9726.41,892755.0
